city,neighborhood,neighborhood_is_generic,property_type,surface_m2,bedrooms,bathrooms,floor,price_dh,floor_known,surface_known,rooms_info_known,floor_appartement
Casablanca,oulfa,False,Appartement,74.0,2.0,1.0,1.0,430000.0,1,0,1,1.0
Casablanca,maârif_extension,False,Appartement,74.0,3.0,2.0,4.0,1520000.0,1,0,1,4.0
Casablanca,casablanca_finance_city,False,Appartement,74.0,1.0,1.0,1.0,11100000.0,1,0,1,1.0
Casablanca,aïn_chock,False,Appartement,99.0,3.0,1.0,1.0,1900000.0,1,1,1,1.0
Casablanca,maarif,False,Appartement,42.0,1.0,0.0,1.0,1950000.0,1,1,1,1.0
Casablanca,sidi_bernoussi,False,Appartement,118.0,3.0,2.0,3.0,3980000.0,1,1,1,3.0
Casablanca,palmier,False,Appartement,74.0,1.0,1.0,2.0,1250000.0,1,0,1,2.0
Casablanca,oulfa,False,Appartement,74.0,2.0,2.0,0.0,1290000.0,1,0,1,0.0
Casablanca,quartier_des_hôpitaux,False,Appartement,197.0,3.0,2.0,1.0,12400000.0,1,1,1,1.0
Casablanca,roches_noires,False,Appartement,79.0,2.0,1.0,4.0,4890000.0,1,1,1,4.0
Casablanca,oulfa,False,Appartement,60.0,2.0,1.0,2.0,2470000.0,1,1,1,2.0
Casablanca,palmier,False,Appartement,143.0,2.0,2.0,0.0,2120000.0,1,1,1,0.0
Casablanca,maarif,False,Appartement,79.0,2.0,1.0,0.0,1125000.0,1,1,1,0.0
Casablanca,roches_noires,False,Appartement,57.0,1.0,1.0,1.0,1740000.0,1,1,1,1.0
Casablanca,maârif_extension,False,Appartement,121.0,2.0,1.0,1.0,11300000.0,1,1,0,1.0
Casablanca,oulfa,False,Appartement,69.0,1.0,1.0,1.0,1700000.0,1,1,1,1.0
Casablanca,les_princesses,False,Appartement,170.0,3.0,1.0,0.0,2600000.0,1,1,0,0.0
Casablanca,maarif,False,Appartement,82.0,2.0,1.0,0.0,1140000.0,1,1,1,0.0
Casablanca,oulfa,False,Appartement,56.0,2.0,1.0,4.0,4800000.0,1,1,1,4.0
Casablanca,casablanca_finance_city,False,Appartement,65.0,1.0,1.0,5.0,5800000.0,1,1,1,5.0
Casablanca,maarif,False,Appartement,74.0,3.0,2.0,1.0,1760000.0,1,0,1,1.0
Casablanca,ain_sebaa,False,Appartement,78.0,2.0,2.0,0.0,897000.0,1,1,1,0.0
Casablanca,hay_hassani,False,Appartement,85.0,2.0,2.0,3.0,3880000.0,1,1,1,3.0
Casablanca,palmier,False,Appartement,74.0,2.0,3.0,2.0,2600000.0,1,0,1,2.0
Casablanca,ain_sebaa,False,Appartement,77.0,2.0,2.0,2.0,2835000.0,1,1,1,2.0
Casablanca,hay_mohammadi,False,Appartement,93.0,4.0,2.0,3.0,3650000.0,1,1,1,3.0
Casablanca,lissasfa,False,Appartement,58.0,2.0,1.0,3.0,3250000.0,1,1,1,3.0
Casablanca,autre_secteur,True,Appartement,82.0,2.0,2.0,2.0,2500000.0,1,1,1,2.0
Casablanca,hay_rajaa,False,Appartement,43.0,1.0,1.0,1.0,1620000.0,1,1,0,1.0
Casablanca,errahma,False,Appartement,74.0,2.0,1.0,4.0,4390000.0,1,0,1,4.0
Casablanca,aïn_borja,False,Appartement,69.0,2.0,1.0,1.0,1680000.0,1,1,1,1.0
Casablanca,hay_hassani,False,Appartement,61.0,2.0,1.0,4.0,4450000.0,1,1,1,4.0
Casablanca,sidi_bernoussi,False,Appartement,60.0,3.0,1.0,1.0,1500000.0,1,1,1,1.0
Casablanca,autre_secteur,True,Appartement,74.0,3.0,2.0,1.0,1750000.0,1,0,1,1.0
Casablanca,ain_sebaa,False,Appartement,79.0,3.0,2.0,2.0,2948000.0,1,1,1,2.0
Casablanca,sidi_moumen,False,Appartement,96.0,2.0,2.0,1.0,1690000.0,1,1,1,1.0
Casablanca,les_princesses,False,Appartement,74.0,1.0,1.0,1.0,1300000.0,1,0,1,1.0
Casablanca,belvédère,False,Appartement,122.0,4.0,2.0,1.0,1860000.0,1,1,1,1.0
Casablanca,autre_secteur,True,Appartement,85.0,3.0,2.0,2.0,2860000.0,1,1,1,2.0
Casablanca,maarif,False,Appartement,63.0,2.0,2.0,1.0,1980000.0,1,1,1,1.0
Casablanca,les_princesses,False,Appartement,138.0,2.0,2.0,0.0,1600000.0,1,1,1,0.0
Casablanca,les_princesses,False,Appartement,74.0,2.0,2.0,1.0,1490000.0,1,0,1,1.0
Casablanca,ain_sebaa,False,Appartement,112.0,3.0,2.0,1.0,1945000.0,1,1,1,1.0
Casablanca,sidi_moumen,False,Appartement,74.0,2.0,1.0,3.0,3550000.0,1,0,1,3.0
Casablanca,ain_sebaa,False,Appartement,86.0,2.0,2.0,1.0,1896500.0,1,1,1,1.0
Casablanca,derb_omar,False,Appartement,73.0,1.0,1.0,1.0,1880000.0,1,1,1,1.0
Casablanca,derb_ghallef,False,Appartement,63.0,2.0,2.0,5.0,5850000.0,1,1,1,5.0
Casablanca,2_mars,False,Appartement,74.0,3.0,2.0,2.0,1560000.0,1,0,1,2.0
Casablanca,autre_secteur,True,Appartement,51.0,3.0,1.0,0.0,500000.0,1,1,1,0.0
Casablanca,sidi_moumen,False,Appartement,72.0,2.0,2.0,1.0,1700000.0,1,1,1,1.0
Casablanca,anfa,False,Appartement,293.0,3.0,2.0,1.0,13980000.0,1,1,1,1.0
Casablanca,hay_hassani,False,Appartement,86.0,3.0,1.0,2.0,2840000.0,1,1,1,2.0
Casablanca,sidi_maarouf,False,Appartement,74.0,3.0,2.0,2.0,2600000.0,1,0,1,2.0
